дата,время_МСК,монета,тип,stage,сила_score,цена_входа,движение_max_4ч_%,направление,change_4h_%,исход,график_MEXC_TV
2026-05-17,23:16,1000PEPEUSDT,pump,🟠 PRE-BREAKOUT,120,0.003754,5.8,↓,-2.58,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3A1000PEPEUSDT.P
2026-05-18,05:12,XAGUSDT,pump,🔴 ПРУЖИНА,115,74.78,1.3,↑,0.51,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AXAGUSDT.P
2026-05-18,06:15,PAXGUSDT,pump,🟠 PRE-BREAKOUT,88,4524.1,0.5,↑,0.47,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3APAXGUSDT.P
2026-05-18,07:37,MONUSDT,pump,🔴 ПРУЖИНА,101,0.027107,1.7,↓,-1.34,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AMONUSDT.P
2026-05-18,08:05,BCHUSDT,pump,🔴 ПРУЖИНА,98,384.1,5.9,↓,-4.89,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABCHUSDT.P
2026-05-18,09:03,CLUSDT,pump,🟠 PRE-BREAKOUT,95,102.76,1.2,↓,-0.5,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ACLUSDT.P
2026-05-18,11:10,BILLUSDT,pump,🔴 ПРУЖИНА,95,0.14473,5.3,↓,2.89,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-18,12:06,BCHUSDT,pump,🔴 ПРУЖИНА,88,365.2,4.8,↓,2.96,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABCHUSDT.P
2026-05-19,00:24,HOMEUSDT,pump,🔴 СКВИЗ SETUP,50,0.021352,2.6,↓,-0.27,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3AHOMEUSDT.P
2026-05-19,02:04,PROMPTUSDT,pump,🔴 СКВИЗ SETUP,50,0.04549,10.4,↑,-3.98,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3APROMPTUSDT.P
2026-05-19,05:10,BILLUSDT,pump,🟠 PRE-BREAKOUT,86,0.13456,6.8,↓,-4.57,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3ABILLUSDT.P
2026-05-19,07:16,LYNUSDT,pump,🟠 PRE-BREAKOUT,93,0.0413,2.5,↑,0.87,FLAT,https://www.tradingview.com/chart/?symbol=MEXC%3ALYNUSDT.P
2026-05-19,07:45,INJUSDT,pump,🟠 PRE-BREAKOUT,115,5.141,3.6,↓,-2.96,LOSS,https://www.tradingview.com/chart/?symbol=MEXC%3AINJUSDT.P
