window_id,symbol,start_ms,label,split,dump_type,pct_chg,vol_ratio_1h,vol_spike_count,price_momentum_4h,cvd_divergence,upper_wick_ratio,support_break,vol_trend_slope,hour_of_day,oi_chg_4h,funding_rate,long_liq_ratio_4h,btc_regime
c_4742,PLAYUSDT,1767931200000,0,test,control,,3.6498483448417276,2,0.12019230769231115,0,0.04411764705882683,0,0.18406126947123064,4,,5e-05,0.5,0
c_4743,PLAYUSDT,1769475600000,0,test,control,,0.7756911677060286,0,3.1313818924438346,1,0.6249999999999946,0,-0.01133956091824225,1,,5e-05,0.5,1
c_4744,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
c_4745,PLAYUSDT,1761958800000,0,test,control,,0.5748773300534086,0,0.03941663381947021,0,0.03225806451612795,0,-0.04949301991353008,1,,5e-05,0.5,0
c_4746,PLAYUSDT,1765191600000,0,test,control,,5.672567044772328,3,1.8406854966677155,0,0.6233766233766251,0,0.2901994599383622,11,,5e-05,0.5,1
c_4747,PLAYUSDT,1767456000000,0,test,control,,0.4853926380647735,0,2.005407841369975,1,0.1298701298701336,0,-0.07798352670128963,16,,5e-05,0.5,0
c_4748,PLAYUSDT,1770627600000,0,test,control,,1.1338241643333522,1,-0.7330695834303067,0,0.13142857142857586,1,0.036033775229152756,9,,5e-05,0.5,-1
c_4749,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
c_4750,PLAYUSDT,1762268400000,0,test,control,,1.0999422276551254,2,0.9843400447427357,1,0.0704225352112694,0,0.06245963560862725,15,,5e-05,0.5,-1
c_4751,PLAYUSDT,1764568800000,0,test,control,,2.5098600170321483,2,0.06651147322912931,0,0.40594059405940636,0,0.1697454005036749,6,,5e-05,0.5,-1
c_4752,PLAYUSDT,1767438000000,0,test,control,,2.03457934477321,4,-0.3663003663003514,0,0.28333333333333177,0,0.09618790745261685,11,,5e-05,0.5,0
c_4753,PLAYUSDT,1772802000000,0,test,control,,1.017573993221587,0,0.5200945626477658,0,0.22857142857142942,0,-0.01980502155501148,13,,0.00013829,0.5,-1
c_4754,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
c_4755,PLAYUSDT,1762138800000,0,test,control,,1.528679075207378,0,-2.102340341134467,0,0.0697674418604623,1,-0.1771529647445214,3,,5e-05,0.5,0
c_4756,PLAYUSDT,1764813600000,0,test,control,,1.4238403720643469,0,1.690331304935769,0,0.19101123595505654,0,-0.08052377549040023,2,,5e-05,0.5,1
c_4757,PLAYUSDT,1767956400000,0,test,control,,4.334026657153169,1,-0.792697573864994,0,0.7948717948717942,0,0.057949472247941065,11,,5e-05,0.5,0
c_4758,PLAYUSDT,1770415200000,0,test,control,,0.2922394821928935,0,0.10569707219110333,1,0.2203389830508351,0,-0.10271564911508141,22,,5e-05,0.5,1
c_4759,PLAYUSDT,1777291200000,0,test,control,,0.9563802745297407,1,-0.38379530916843674,0,0.2299999999999985,0,0.0190196130635865,12,,9.717e-05,0.5,0
c_4760,PLAYUSDT,1761958800000,0,test,control,,0.5748773300534086,0,0.03941663381947021,0,0.03225806451612795,0,-0.04949301991353008,1,,5e-05,0.5,0
c_4761,PLAYUSDT,1764374400000,0,test,control,,0.23467304333704045,0,-0.19933554817274934,0,0.36842105263158376,0,-0.16206757230854543,0,,5e-05,0.5,0
c_4762,PLAYUSDT,1767430800000,0,test,control,,3.392789731941284,4,-5.12764084507042,0,0.4713375796178323,0,0.23629608234693178,9,,5e-05,0.5,0
c_4763,PLAYUSDT,1772046000000,0,test,control,,0.6151466761115364,1,0.5652911249293352,0,0.5789473684210498,0,0.0543361178975574,19,,5e-05,0.5,1
c_4764,PLAYUSDT,1779102000000,0,test,control,,2.207420505321453,4,2.015167930660889,1,0.3386581469648542,0,0.06754032218558602,11,,-0.00296679,0.5,-1
