run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,funding,oi_24h_pct,outcome_4h,outcome_24h,change_4h_pct,change_24h_pct
2026-04-12T10:00:37,BTCUSDT,squeeze,98,—,45,ЛОНГ,71495.0,-0.0015780000000000002,-6.373858621790321,TP1,TP1,1.16,1.16
2026-04-12T10:00:37,BNBUSDT,squeeze,98,—,33,ЛОНГ,593.1,-0.013852999999999999,0.5197851574860533,TP1,TP1,1.6,1.6
2026-04-12T10:00:37,GALAUSDT,squeeze,98,—,85,ЛОНГ,0.002933,-0.012334,-3.282632543775548,WIN,WIN,0.89,0.89
2026-04-12T10:00:37,APTUSDT,squeeze,98,—,61,ЛОНГ,0.8213,-0.057385,1.1663697884922688,TP1,TP1,2.56,2.54
2026-04-12T10:00:37,NEARUSDT,bos_fvg,96,—,55,ШОРТ,1.3273,-0.013350999999999998,-2.0438588920687817,STOP,STOP,5.33,5.33
2026-04-12T10:00:37,SHIB1000USDT,squeeze,96,—,36,ЛОНГ,0.005831,-0.013884999999999998,9.169304418965458,FLAT,FLAT,-0.27,-0.27
2026-04-12T10:00:37,ASTERUSDT,squeeze,96,—,58,ЛОНГ,0.6654,0.005,-1.1657961712062976,FLAT,FLAT,-0.35,-0.35
2026-04-12T10:00:37,RIVERUSDT,bos_fvg,95,—,24,ШОРТ,8.765,0.12934800000000002,1.3344213847560136,TP1,TP1,-12.71,-12.72
2026-04-12T10:00:37,FARTCOINUSDT,bos_fvg,94,—,80,ЛОНГ,0.19297,0.005,-5.540488485439425,LOSS,LOSS,-2.29,-2.27
2026-04-12T10:00:37,MONUSDT,breakout,93,—,93,ЛОНГ,0.033573,0.01,2.5333068750170553,WIN,WIN,3.48,3.48
2026-04-12T10:00:37,DOGEUSDT,squeeze,92,—,89,ЛОНГ,0.09114,-0.016233,1.3079900650310163,TP1,TP1,1.47,1.48
2026-04-12T10:00:37,AAVEUSDT,squeeze,92,—,35,ЛОНГ,89.77,-0.029001,3.054586701838011,TP1,TP1,6.06,6.09
2026-04-12T10:00:37,AVAXUSDT,squeeze,90,—,58,ЛОНГ,9.018,-0.015156,-0.43762788833683863,TP1,TP1,3.27,3.27
2026-04-12T10:00:37,QUSDT,bos_fvg,90,—,52,ЛОНГ,0.009291,0.06510300000000001,29.30749580927917,WIN,WIN,1.21,1.21
2026-04-12T10:00:37,TRUMPUSDT,bos_fvg,89,—,26,ШОРТ,2.788,-0.144433,9.625894250618483,LOSS,LOSS,1.43,1.36
2026-04-12T10:00:37,RENDERUSDT,breakout,89,—,89,ЛОНГ,1.893,-0.003974999999999999,-6.842923501681539,WIN,WIN,1.08,1.08
2026-04-12T10:00:37,XRPUSDT,squeeze,88,—,48,ЛОНГ,1.3296,-0.016611,1.28133868941861,TP1,TP1,1.2,1.17
2026-04-12T10:00:37,AKEUSDT,squeeze,88,—,61,ЛОНГ,0.0005243,0.063678,-15.837897604079204,WIN,WIN,4.77,4.77
2026-04-12T10:00:37,LTCUSDT,bos_fvg,88,—,71,ШОРТ,53.71,0.003345,-1.042363751982975,WIN,WIN,-0.67,-0.67
2026-04-12T10:00:37,1000BONKUSDT,bos_fvg,87,—,60,ШОРТ,0.0057192,-0.008553999999999999,4.208521534925069,LOSS,LOSS,0.77,0.77
2026-04-12T10:00:37,OPUSDT,breakout,87,—,87,ЛОНГ,0.10807,0.000976,-1.3761031039473777,WIN,WIN,1.39,1.37
2026-04-12T10:00:37,LINKUSDT,squeeze,85,—,57,ЛОНГ,8.782,-0.007836000000000001,-0.5068357834387728,TP1,TP1,1.38,1.41
2026-04-12T10:00:37,WIFUSDT,bos_fvg,82,—,71,ШОРТ,0.18927,0.005,3.6636656523873996,FLAT,FLAT,-0.05,-0.02
2026-04-12T10:00:37,CRVUSDT,squeeze,82,—,68,ЛОНГ,0.2122,-0.002043,1.3457107038182161,FLAT,FLAT,0.0,0.0
2026-04-12T10:00:37,ENAUSDT,bos_fvg,80,—,79,ШОРТ,0.09172,0.003371,3.702865726147057,STOP,STOP,3.64,3.65
2026-04-12T10:00:37,ARBUSDT,bos_fvg,80,—,62,ШОРТ,0.10994,0.01,-0.20213468662326775,LOSS,LOSS,1.44,1.44
2026-04-12T10:00:37,XAUTUSDT,bos_fvg,80,—,37,ЖДАТЬ,4700.64,0.005,-0.04390137263478053,TP1,TP1,-0.28,-0.28
2026-04-12T10:00:37,PENGUUSDT,squeeze,77,—,49,ЛОНГ,0.006591,-0.019881,2.1691402358254956,WIN,WIN,1.2,1.2
2026-04-12T10:00:37,ONDOUSDT,bos_fvg,73,—,37,ШОРТ,0.247,0.003984,1.3328285156707473,STOP,STOP,2.67,2.67
2026-04-12T10:00:37,ETHUSDT,bos_fvg,72,—,23,ШОРТ,2212.72,-0.010909,-0.6683361765539415,LOSS,LOSS,0.9,0.9
2026-04-12T10:00:37,DRIFTUSDT,bos_fvg,69,—,64,ЛОНГ,0.03698,0.005,-6.0835799598235845,TP1,TP1,10.76,10.76
2026-04-12T10:00:37,SUIUSDT,bos_fvg,65,—,20,ШОРТ,0.9116,0.001827,-1.6635383156317043,LOSS,LOSS,1.13,1.13
2026-04-12T10:00:37,ARIAUSDT,squeeze,59,—,47,ЛОНГ,0.90574,0.061101,-2.777695478022029,LOSS,LOSS,-10.34,-10.26
2026-04-13T14:59:38,HOLOUSDT,breakout,207,—,207,ЛОНГ,0.06356,-0.408693,90.73268276931142,LOSS,STOP,-0.74,-8.01
2026-04-13T14:59:38,DOGEUSDT,breakout,184,—,184,ЛОНГ,0.09211,0.0012649999999999998,-5.066226342922469,WIN,WIN,0.66,0.58
2026-04-13T14:59:38,GIGGLEUSDT,breakout,178,—,178,ЛОНГ,41.1,-0.00786,64.68252587614555,LOSS,TP1,-5.79,10.49
2026-04-13T14:59:38,HYPEUSDT,breakout,174,—,174,ЛОНГ,42.635,0.002026,4.546428175142117,TP1,WIN,2.28,1.03
2026-04-13T14:59:38,BLESSUSDT,breakout,170,—,170,ЛОНГ,0.013336,0.005,11.867607686826524,TP1,TP1,45.15,32.2
2026-04-13T14:59:38,MONUSDT,breakout,166,—,166,ЛОНГ,0.034527,0.01,-0.0600245820436455,FLAT,LOSS,0.34,-1.6
2026-04-13T14:59:38,1000PEPEUSDT,breakout,164,—,164,ЛОНГ,0.0035566,-0.004927,8.308870059856465,WIN,WIN,1.08,0.77
2026-04-13T14:59:38,WETUSDT,breakout,156,—,156,ЛОНГ,0.14115,-0.137408,96.08210759371833,WIN,LOSS,6.93,-1.05
2026-04-13T14:59:38,0GUSDT,squeeze,152,—,131,ЛОНГ,0.5963,-0.11701700000000001,17.181199168488117,LOSS,WIN,-2.3,2.87
2026-04-13T14:59:38,PENGUUSDT,breakout,148,—,148,ЛОНГ,0.006641,0.005,-4.906833882432771,TP1,WIN,1.9,1.75
2026-04-13T14:59:38,VVVUSDT,breakout,148,—,148,ЛОНГ,8.871,0.005,-1.7080529482433506,FLAT,LOSS,0.4,-1.57
2026-04-13T14:59:38,REDUSDT,squeeze,148,—,68,ЛОНГ,0.14005,-0.023853,-10.354752795977952,WIN,LOSS,1.11,-1.06
2026-04-13T14:59:38,ETHUSDT,breakout,145,—,145,ЛОНГ,2221.72,0.00237,-0.34836384616491345,TP1,TP1,1.59,4.14
2026-04-13T14:59:38,NEARUSDT,breakout,144,—,144,ЛОНГ,1.396,0.01,2.727888701869486,FLAT,LOSS,-0.26,-2.47
2026-04-13T14:59:38,STABLEUSDT,breakout,143,—,143,ЛОНГ,0.028011,-1.7909230000000003,17.748656769547758,LOSS,LOSS,-1.39,-8.28
2026-04-13T14:59:38,XLMUSDT,bos_fvg,143,—,49,ШОРТ,0.15279,0.00532,-0.1645689845938462,FLAT,LOSS,-0.14,1.01
2026-04-13T14:59:38,DRIFTUSDT,squeeze,141,—,133,ЛОНГ,0.04117,-0.141332,-34.65500468848214,LOSS,WIN,-3.93,8.84
2026-04-13T14:59:38,1000BONKUSDT,bos_fvg,140,—,120,ШОРТ,0.005731,0.005,-8.706255034240797,LOSS,LOSS,1.01,1.41
2026-04-13T14:59:38,ARBUSDT,squeeze,139,—,65,ЛОНГ,0.11137,-0.012650000000000002,3.9396220927251866,FLAT,LOSS,-0.22,-1.65
2026-04-13T14:59:38,MUSDT,breakout,139,—,139,ЛОНГ,2.9099,0.066636,-2.1665351873215593,STOP,LOSS,-4.57,-0.74
2026-04-13T14:59:38,FARTCOINUSDT,bos_fvg,138,—,104,ШОРТ,0.18711,0.005,1.9492627277677743,STOP,STOP,3.02,3.97
2026-04-13T14:59:38,CRVUSDT,bos_fvg,138,—,75,ШОРТ,0.2114,-0.018331,2.179234471655714,LOSS,FLAT,0.99,0.43
2026-04-13T14:59:38,LITUSDT,breakout,137,—,137,ЛОНГ,1.1357,0.005,0.20270828919749626,LOSS,STOP,-3.06,-10.24
2026-04-13T14:59:38,SOLUSDT,bos_fvg,136,—,107,ЛОНГ,83.398,0.003849,-1.3209687966396713,WIN,FLAT,0.71,0.18
2026-04-13T14:59:38,XRPUSDT,bos_fvg,136,—,79,ЖДАТЬ,1.3411,0.001582,-4.7623467150935825,STOP,STOP,0.69,1.13
2026-04-13T14:59:38,TONUSDT,bos_fvg,136,—,128,ЛОНГ,1.4423,0.005,-1.0687141876369577,LOSS,STOP,-1.32,-4.69
2026-04-13T14:59:38,PAXGUSDT,bos_fvg,136,—,40,ШОРТ,4694.3,0.005,-2.406469592901365,LOSS,STOP,0.62,2.8
2026-04-13T14:59:38,XMRUSDT,bos_fvg,135,—,90,ЛОНГ,344.81,0.01,-1.1547347861661799,FLAT,WIN,0.22,0.59
2026-04-13T14:59:38,ENAUSDT,bos_fvg,133,—,130,ЛОНГ,0.09437,-0.003907,7.029290005128204,WIN,WIN,1.54,0.93
2026-04-13T14:59:38,RAVEUSDT,squeeze,130,—,123,ЛОНГ,9.68078,-0.398453,-37.429452402574256,TP1,TP1,17.9,61.28
2026-04-13T14:59:38,VIRTUALUSDT,breakout,130,—,130,ЛОНГ,0.676,0.005,-2.178639063036079,LOSS,LOSS,-0.78,-1.36
2026-04-13T14:59:38,TAOUSDT,bos_fvg,129,—,88,ШОРТ,260.55,0.005,-5.744271861752288,WIN,TP1,-1.58,-7.87
2026-04-13T14:59:38,WLDUSDT,bos_fvg,129,—,125,ЛОНГ,0.304,0.01,7.561021750538853,LOSS,LOSS,-1.25,-2.83
