window_id,symbol,start_ms,label,split,pump_type,pct_chg,vol_ratio_1h,vol_ratio_4h,vol_spike_count,cvd_div_1h,price_vs_cvd,price_vs_high_7d,hour_of_day,btc_trend_1h,oi_chg_1h,oi_chg_4h,oi_oi_btc_corr,funding_last,funding_trend_3,liq_long_1h,liq_short_1h,liq_ratio,catalyst_hit_liq_sweep,catalyst_hit_macro_extreme,catalyst_hit_stablecoin_inflow,catalyst_hit_news_signal,catalyst_hit_token_unlock
c_7876,XLMUSDT,1766710800000,0,test,control,,1.7468839908972698,1.4097985243034892,0,0.01756898552158266,1,0.9245358090185677,1,-0.001127515977922284,0.002318243987364798,0.0005236787838573433,0.08971276861665795,-2.248e-05,-0.00012248,0.0,0.0,0.5,0,0,0,0,0
c_7877,XLMUSDT,1769961600000,0,test,control,,3.928895014537713,2.4489158745247437,2,-0.10391299538874169,0,0.8194038298273748,16,-0.00787419703911761,0.001964543813948931,-0.005242438244754053,0.28677495775772643,-3.082e-05,0.00023987000000000002,0.0,0.0,0.5,0,0,0,0,0
c_7878,XLMUSDT,1775671200000,0,test,control,,0.8211225037889789,1.5184339149850352,1,0.06179549672257367,0,0.9231257208765858,18,0.004004980373360395,-0.00332982662418994,0.009003515561017902,0.08268952151043697,4.882e-05,3.327999999999999e-05,0.0,0.0,0.5,0,0,0,0,0
c_7879,XLMUSDT,1779706800000,0,test,control,,1.5188383656087276,2.723925552542999,2,-0.08343694912338628,1,0.9953152449736483,11,-0.000838006832978792,-0.009602608512854414,0.015953613208415648,0.06397400716677953,8.311e-05,6.0039999999999994e-05,0.0,12.9215,0.0,0,0,0,0,0
c_7880,XLMUSDT,1714608000000,0,train,control,,,,0,0.17761549600023557,0,0.9986512004316159,0,0.007772490878514378,0.010119431840999546,0.01783145309820063,,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7881,XLMUSDT,1726646400000,0,train,control,,0.6291402224793672,0.69231228150835,0,-0.12862042518210506,0,0.9640287769784173,8,-0.00039551463238654945,-0.00027266612899482016,3.20637567532848e-05,0.06892887768516043,-6.357e-05,-9.807e-05,0.0,0.0,0.5,0,0,0,0,0
c_7882,XLMUSDT,1739840400000,0,train,control,,0.7108937013131071,0.5900142939488207,0,-0.020325141417963613,0,0.9061816790555312,1,-0.0014894008138436074,0.009152016223099111,0.009001387385632992,-0.03698758723978207,5.328e-05,6.638e-05,0.0,0.0,0.5,0,0,0,0,0
c_7883,XLMUSDT,1751086800000,0,train,control,,0.5493831440293789,1.084631302138696,1,-0.2213207720977735,0,0.9481778133760512,5,-0.0009781068178427027,-0.0027868219164550144,-0.004130804137050179,0.12348207544083249,-0.00018245,8.011000000000002e-05,0.0,0.0,0.5,0,0,0,0,0
c_7884,XLMUSDT,1760346000000,0,train,control,,1.4626245281259638,1.342203011227753,0,0.1080902516973286,0,0.8492984709331912,9,-0.0012822769215296305,0.006818957171777864,0.03137257039945706,0.8833495116189831,-0.00017031,-1.807999999999999e-05,0.0,0.0,0.5,0,0,0,0,0
c_7885,XLMUSDT,1714608000000,0,train,control,,,,0,0.17761549600023557,0,0.9986512004316159,0,0.007772490878514378,0.010119431840999546,0.01783145309820063,,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7886,XLMUSDT,1726783200000,0,train,control,,0.8816252698862065,0.997617035695879,0,0.0848295823721684,1,0.9822199383350463,22,-0.0023366414588770843,-0.003245574119845635,-0.002657357399222091,-0.14778517979475936,-5.698e-05,-0.00015698,0.0,0.0,0.5,0,0,0,0,0
c_7887,XLMUSDT,1740067200000,0,train,control,,1.0321476277635593,1.0113672441460813,0,-0.00023428623186469568,0,0.934575863576738,16,-0.0004901050372479828,0.0009875200388386053,-0.015660395146422364,-0.07452724991471543,8.754e-05,0.00011273000000000001,0.0,0.0,0.5,0,0,0,0,0
c_7888,XLMUSDT,1751173200000,0,train,control,,0.5578158369157209,0.5321660128767877,0,0.280500955466807,1,0.9517420905086104,5,0.0005944576390605991,-0.0018003454960172011,-0.003858595010048834,0.14401519164055254,-0.0001737,2.7179999999999994e-05,0.0,0.0,0.5,0,0,0,0,0
c_7889,XLMUSDT,1761868800000,0,train,control,,1.2621678201674356,1.476577442850726,1,-0.03760089735840523,1,0.8822362969101456,0,0.0037530583995542587,-0.006966152875175851,-0.01825301048739626,-0.15570608315965123,-0.00030421,-0.0003142,0.0,0.0,0.5,0,0,0,0,0
c_7890,XLMUSDT,1716710400000,0,train,control,,0.4334322227872667,0.43486463712860185,0,0.004789792522349886,0,0.9669790663046335,8,0.003372098237857933,-0.002856934606402078,-0.012872573058480594,0.02828525404971885,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7891,XLMUSDT,1726668000000,0,train,control,,1.4996209266947096,1.149505378104775,0,0.00440820505086935,1,0.9638232271325797,14,-0.007844609020549821,0.010876593075008973,-0.0009792502355266749,0.09218347074305021,-6.357e-05,-9.807e-05,0.0,0.0,0.5,0,0,0,0,0
c_7892,XLMUSDT,1740067200000,0,train,control,,1.0321476277635593,1.0113672441460813,0,-0.00023428623186469568,0,0.934575863576738,16,-0.0004901050372479828,0.0009875200388386053,-0.015660395146422364,-0.07452724991471543,8.754e-05,0.00011273000000000001,0.0,0.0,0.5,0,0,0,0,0
c_7893,XLMUSDT,1749103200000,0,train,control,,0.5100213702790466,0.48364190199600676,0,-0.16227065638675509,0,0.9225963207219714,6,-0.005081110387170692,-0.0009243718390633156,0.001480028867728724,0.23557318449413694,-0.00011468,-6.684e-05,0.0,0.0,0.5,0,0,0,0,0
c_7894,XLMUSDT,1761112800000,0,train,control,,1.0727834446878957,0.7911606784856173,0,-0.11999447282752512,0,0.9101422188476477,6,-0.004013655826019002,0.001402255457032451,0.007326527725592313,-0.10916220709308307,-1.165e-05,8.163e-05,0.0,0.0,0.5,0,0,0,0,0
c_7895,XLMUSDT,1714608000000,0,train,control,,,,0,0.17761549600023557,0,0.9986512004316159,0,0.007772490878514378,0.010119431840999546,0.01783145309820063,,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7896,XLMUSDT,1727582400000,0,train,control,,0.6596857972462078,1.3233276653602626,0,0.07868494597234134,0,0.9730048100520271,4,-0.00011096096757946036,0.011533746113481345,0.004311756032912126,0.11560241502381362,9.763e-05,-2.370000000000006e-06,0.0,0.0,0.5,0,0,0,0,0
c_7897,XLMUSDT,1741186800000,0,train,control,,1.6038747424997035,1.3094435153364086,0,-0.010318369535034441,0,0.7934698660417054,15,-0.010570046688473226,-0.0455031198078532,-0.05101561550179602,0.14953438464330748,-0.00030036,-9.348e-05,0.0,0.0,0.5,0,0,0,0,0
c_7898,XLMUSDT,1750086000000,0,train,control,,2.17601875964765,2.197360461970815,2,0.13487822711858832,0,0.9298141211887844,15,0.0034740311271695733,0.00275873028303857,0.015672504799753625,0.2759883812802317,-6.957e-05,7.632e-05,0.0,0.0,0.5,0,0,0,0,0
c_7899,XLMUSDT,1761030000000,0,train,control,,0.9059165588124319,1.15891005183223,0,0.09623129892425161,0,0.9229331542213006,7,0.003445645500381348,-0.0020052074133638745,-0.00891527413323164,-0.11095858339189704,-0.0001664,2.7549999999999992e-05,0.0,0.0,0.5,0,0,0,0,0
c_7900,XLMUSDT,1716235200000,0,train,control,,5.082292486618257,2.2118505283211225,1,0.07750339390902619,0,0.9963777958887984,20,0.01914044186378329,-0.00361169605468626,-0.0025780257706501724,0.11447838208309039,8.676e-05,0.00022957,0.0,0.0,0.5,0,0,0,0,0
c_7901,XLMUSDT,1726228800000,0,train,control,,0.9769612764150053,1.1082913490393302,0,-0.14303902483023587,0,0.986317108836432,12,-0.007936154086227701,0.001095286791988731,0.008170917064337679,0.1443515265467752,-7.236e-05,-2.5150000000000008e-05,0.0,0.0,0.5,0,0,0,0,0
c_7902,XLMUSDT,1738432800000,0,train,control,,0.3290954846944035,0.32859241271107825,0,0.05398012201867643,0,0.9188726428909365,18,0.0035244453171019044,0.005161244196058888,0.005965340768334762,0.01090179801371267,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7903,XLMUSDT,1750532400000,0,train,control,,1.5292607669639,1.505285479217813,1,-0.0896873492326706,0,0.8820436875231396,19,-0.005072519972077844,0.009243414259389977,0.007268818217849872,-0.047004442140790574,-0.00011694,-2.5960000000000002e-05,0.0,0.0,0.5,0,0,0,0,0
c_7904,XLMUSDT,1761570000000,0,train,control,,0.8638742935687314,1.1097112994805256,0,-0.027107963361054314,0,0.970653278345586,13,-0.002479568924470793,-0.017085034101117638,0.04320428625181138,-0.015869818311265323,0.0001,6.740000000000001e-05,0.0,0.0,0.5,0,0,0,0,0
c_7905,XLMUSDT,1715724000000,0,train,control,,0.7357925785909833,0.7132510509794339,0,0.15169258211706071,0,0.9336855529240298,22,0.0013070409728931068,-0.0013682856972000164,-0.005256632229931644,-0.16962219411468804,2.544e-05,7.190000000000001e-06,0.0,0.0,0.5,0,0,0,0,0
c_7906,XLMUSDT,1724202000000,0,train,control,,0.7368337215120222,0.4904554661211056,0,0.04185731547284254,1,0.9754576543954939,1,-0.0004035067790834786,-0.01754197352252286,-0.01785025386136254,-0.0630862536680192,-4.98e-06,-7.397999999999999e-05,0.0,0.0,0.5,0,0,0,0,0
c_7907,XLMUSDT,1737900000000,0,train,control,,0.2571671899119779,0.34542808885025955,0,-0.056375602176432664,0,0.8882949847580073,14,0.0005512411031307529,-0.00030763882630233043,-0.0016850172035338144,0.006795533132860687,3.466e-05,0.00017352,0.0,0.0,0.5,0,0,0,0,0
c_7908,XLMUSDT,1751547600000,0,train,control,,3.2887887398939992,1.8483801234065593,1,-0.07334023670927334,0,0.9873856446217709,13,-0.003935153490155324,-0.013058965838926786,-0.01388552275982356,0.1505542120859206,7.257e-05,4.7480000000000006e-05,0.0,0.0,0.5,0,0,0,0,0
c_7909,XLMUSDT,1760835600000,0,train,control,,0.5994593321682418,0.5188646015378889,0,-0.07625019265685679,0,0.8819246507690137,1,-0.0026522276938876076,0.0004131959767028426,-0.0038759343158628052,-0.13618179452269316,-4.1e-06,5.7770000000000004e-05,0.0,0.0,0.5,0,0,0,0,0
c_7910,XLMUSDT,1715101200000,0,train,control,,,,0,0.02907852286476263,0,0.9679605668515096,17,-0.001522523936587663,-0.0015748243145021746,-0.0023886333793163386,,1.917e-05,0.0001825,0.0,0.0,0.5,0,0,0,0,0
c_7911,XLMUSDT,1724702400000,0,train,control,,0.6976163171728357,1.413012069176541,1,-0.033756018502940195,0,0.9361845916200038,20,-0.0047948435780537655,-0.0045521248735077725,-0.004050017004347765,0.11877584512131015,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7912,XLMUSDT,1737316800000,0,train,control,,0.5485113299822959,0.6214362485326977,0,0.016068279297660117,0,0.9174420637541522,20,0.011654490073211907,-0.0011448071365307412,-0.00026601562447659623,0.020291869594188237,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7913,XLMUSDT,1749499200000,0,train,control,,0.7882183052871082,1.2011719970962262,0,-0.17866474566487703,0,0.9733801745681069,20,0.0011892657921396704,-0.005284455131249541,-0.00039486831885248086,0.24080409843070222,-0.00011203,4.469000000000001e-05,0.0,0.0,0.5,0,0,0,0,0
c_7914,XLMUSDT,1761868800000,0,train,control,,1.2621678201674356,1.476577442850726,1,-0.03760089735840523,1,0.8822362969101456,0,0.0037530583995542587,-0.006966152875175851,-0.01825301048739626,-0.15570608315965123,-0.00030421,-0.0003142,0.0,0.0,0.5,0,0,0,0,0
p_1583,XMRUSDT,1733230800000,1,train,main,21.5423,3.5541851987578834,4.14735879469538,4,-0.1920171229223739,0,0.983007266629402,13,-0.001788611385247954,0.0009353540270130989,0.07271734102512402,-0.0225819749183985,0.0019983,0.0008168300000000002,0.0,0.0,0.5,0,1,0,0,0
p_1584,XMRUSDT,1745748000000,1,train,main,34.3605,0.8256356596291665,0.6838616950161504,0,-0.22408881559390423,0,0.9815380642940139,10,-0.0005511590269015961,0.0035808954807265026,0.01901995307134497,-0.02528595451439511,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_1585,XMRUSDT,1762617600000,1,test,main,30.9916,1.0107865037828794,1.1307138929936058,0,0.0548292223339173,1,0.9413983705760616,16,-0.001063012471238705,-0.001780360393372939,-0.020093937553874654,-0.13496204779245705,0.0002729,0.00017290000000000003,0.0,0.0,0.5,0,1,0,0,0
p_1586,XMRUSDT,1768096800000,1,test,main,24.1849,1.4736554365128902,1.483941527718096,1,0.017832240816907877,0,0.9997914842153551,2,-2.3178807947084115e-05,0.010494303767549737,0.052610984858914106,-0.14027752519984937,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_1587,XMRUSDT,1768330800000,1,test,main,18.6053,7.750402301252611,15.497024962924861,4,0.05046047808437302,0,0.9640863309352518,19,0.004189263724023605,0.006306028690328343,0.03024276436043726,0.11151331012044897,4.442e-05,-5.5580000000000007e-05,0.0,0.0,0.5,0,0,0,0,0
p_1588,XMRUSDT,1745798400000,1,train,fast,11.3528,3.7138778597368516,1.3009009569796377,1,0.17697797490335154,0,0.9979550102249489,0,-0.002060909185797087,0.030397697249492504,0.027076273629678346,-0.008711052528139626,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
p_1589,XMRUSDT,1745809200000,1,train,fast,16.7385,16.69808282992748,17.162562606187173,4,0.023557905711676836,1,0.8142359505533463,3,0.00716052625346882,-0.012321764408739177,0.07160135717662763,-0.04639422892781346,1.437e-05,-8.563e-05,0.0,0.0,0.5,0,0,0,0,0
p_1590,XMRUSDT,1762657200000,1,test,fast,10.7888,5.782898294493216,3.367586274817356,3,0.007089424987551192,1,0.9677130935823565,3,-0.003977630363722257,0.061000387160385305,0.2183054793440657,-0.08910172695390474,0.0001,-0.00017290000000000003,0.0,0.0,0.5,0,1,0,0,0
c_7915,XMRUSDT,1714608000000,0,train,control,,,,0,0.15961272460442336,0,0.9984672474991934,0,0.007772490878514378,0.004090395333103322,0.018900600783602103,,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7916,XMRUSDT,1727830800000,0,train,control,,1.5245211519621278,1.3862834008248917,0,0.19670878172121714,0,0.8614170445844868,1,0.003952165958062897,-0.0041614195183220445,0.02724165669972372,-0.02318875567042422,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7917,XMRUSDT,1738094400000,0,train,control,,0.7306867789412638,0.7596395732691125,0,-0.1911222811000574,0,0.9730977185810366,20,0.0020320846192923847,-0.004934918498675588,-0.005788102702366457,0.11268966645308601,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
c_7918,XMRUSDT,1751558400000,0,train,control,,1.1902788059638145,1.8297463697437704,2,0.08294474057840583,0,0.9491340072116806,16,-0.005290416704659406,-0.00898361227786831,-0.0513962899562229,0.1714055127537023,0.00032133,0.00016983,0.0,0.0,0.5,0,0,0,0,0
c_7919,XMRUSDT,1761868800000,0,train,control,,0.48940515937473583,0.562348821309538,0,-0.08236989913544501,0,0.9173673446199294,0,0.0037530583995542587,-0.0008743125049283431,-0.010951514067019188,0.07338796117083396,0.00043225,0.00029907,0.0,0.0,0.5,0,0,0,0,0
c_7920,XMRUSDT,1714903200000,0,train,control,,,,0,0.10071311290276908,0,0.974380739254572,10,-2.199884663180655e-05,0.005868070245512559,-0.023456637683791845,,0.0001,0.0,0.0,0.0,0.5,0,0,0,0,0
