symbol,start_ts,end_ts,matched_pump_id,split
ADAUSDT,2024-05-16 23:00:00+00:00,2024-05-17 23:00:00+00:00,5,train
ADAUSDT,2024-09-04 16:00:00+00:00,2024-09-05 16:00:00+00:00,5,train
ADAUSDT,2025-01-28 16:00:00+00:00,2025-01-29 16:00:00+00:00,5,train
ADAUSDT,2025-06-30 18:00:00+00:00,2025-07-01 18:00:00+00:00,5,train
ADAUSDT,2025-10-26 21:00:00+00:00,2025-10-27 21:00:00+00:00,5,train
ADAUSDT,2024-05-08 21:00:00+00:00,2024-05-09 21:00:00+00:00,6,train
ADAUSDT,2024-08-26 17:00:00+00:00,2024-08-27 17:00:00+00:00,6,train
ADAUSDT,2025-02-12 01:00:00+00:00,2025-02-13 01:00:00+00:00,6,train
ADAUSDT,2025-06-21 00:00:00+00:00,2025-06-22 00:00:00+00:00,6,train
ADAUSDT,2025-10-22 07:00:00+00:00,2025-10-23 07:00:00+00:00,6,train
ADAUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,7,train
ADAUSDT,2024-09-22 10:00:00+00:00,2024-09-23 10:00:00+00:00,7,train
ADAUSDT,2025-02-12 22:00:00+00:00,2025-02-13 22:00:00+00:00,7,train
ADAUSDT,2025-06-23 21:00:00+00:00,2025-06-24 21:00:00+00:00,7,train
ADAUSDT,2025-10-31 00:00:00+00:00,2025-11-01 00:00:00+00:00,7,train
ADAUSDT,2024-05-02 00:00:00+00:00,2024-05-03 00:00:00+00:00,8,train
ADAUSDT,2024-09-21 16:00:00+00:00,2024-09-22 16:00:00+00:00,8,train
ADAUSDT,2025-01-05 21:00:00+00:00,2025-01-06 21:00:00+00:00,8,train
ADAUSDT,2025-06-08 02:00:00+00:00,2025-06-09 02:00:00+00:00,8,train
ADAUSDT,2025-10-15 13:00:00+00:00,2025-10-16 13:00:00+00:00,8,train
ADAUSDT,2024-05-08 03:00:00+00:00,2024-05-09 03:00:00+00:00,9,train
ADAUSDT,2024-09-28 22:00:00+00:00,2024-09-29 22:00:00+00:00,9,train
ADAUSDT,2025-01-24 10:00:00+00:00,2025-01-25 10:00:00+00:00,9,train
ADAUSDT,2025-07-02 01:00:00+00:00,2025-07-03 01:00:00+00:00,9,train
ADAUSDT,2025-10-27 19:00:00+00:00,2025-10-28 19:00:00+00:00,9,train
ADAUSDT,2024-05-26 06:00:00+00:00,2024-05-27 06:00:00+00:00,10,train
ADAUSDT,2024-09-25 09:00:00+00:00,2024-09-26 09:00:00+00:00,10,train
ADAUSDT,2025-01-25 23:00:00+00:00,2025-01-26 23:00:00+00:00,10,train
ADAUSDT,2025-06-16 07:00:00+00:00,2025-06-17 07:00:00+00:00,10,train
ADAUSDT,2025-10-29 03:00:00+00:00,2025-10-30 03:00:00+00:00,10,train
ADAUSDT,2024-05-19 03:00:00+00:00,2024-05-20 03:00:00+00:00,11,train
ADAUSDT,2024-09-06 01:00:00+00:00,2024-09-07 01:00:00+00:00,11,train
ADAUSDT,2025-02-08 22:00:00+00:00,2025-02-09 22:00:00+00:00,11,train
ADAUSDT,2025-07-01 17:00:00+00:00,2025-07-02 17:00:00+00:00,11,train
ADAUSDT,2025-10-13 20:00:00+00:00,2025-10-14 20:00:00+00:00,11,train
ADAUSDT,2025-11-01 01:00:00+00:00,2025-11-02 01:00:00+00:00,12,test
ADAUSDT,2025-12-27 10:00:00+00:00,2025-12-28 10:00:00+00:00,12,test
ADAUSDT,2026-02-20 08:00:00+00:00,2026-02-21 08:00:00+00:00,12,test
