pump_id,date,start_ms,symbol,pct_chg,pump_type,split,liq_sweep,macro_extreme,stablecoin_inflow,news_signal,token_unlock,liq_note,news_note,catalysts,confidence
128,2026-04-30 04:00:00+00:00,1777521600000,BSBUSDT,11.3855,fast,test,0,0,0,0,0,checked,checked,none,NONE
129,2026-04-30 07:00:00+00:00,1777532400000,BSBUSDT,16.6767,fast,test,0,0,0,0,0,checked,checked,none,NONE
130,2026-05-04 03:00:00+00:00,1777863600000,BSBUSDT,18.3202,fast,test,0,0,0,0,0,checked,checked,none,NONE
131,2026-05-04 15:00:00+00:00,1777906800000,BSBUSDT,15.781,fast,test,0,0,0,0,0,checked,checked,none,NONE
132,2026-05-06 12:00:00+00:00,1778068800000,BSBUSDT,15.1378,fast,test,0,0,0,0,0,checked,checked,none,NONE
133,2026-05-08 18:00:00+00:00,1778263200000,BSBUSDT,19.4532,fast,test,0,0,0,0,0,checked,checked,none,NONE
134,2026-05-17 08:00:00+00:00,1779004800000,BSBUSDT,10.3303,fast,test,0,0,0,0,0,checked,checked,none,NONE
135,2026-05-19 16:00:00+00:00,1779206400000,BSBUSDT,22.4876,fast,test,1,0,0,0,0,checked,checked,liq_sweep,LOW
136,2026-05-19 20:00:00+00:00,1779220800000,BSBUSDT,14.1249,fast,test,0,0,0,0,0,checked,checked,none,NONE
137,2026-05-20 17:00:00+00:00,1779296400000,BSBUSDT,19.0618,fast,test,0,0,0,0,0,checked,checked,none,NONE
138,2026-05-21 12:00:00+00:00,1779364800000,BSBUSDT,17.4519,fast,test,0,0,0,0,0,checked,checked,none,NONE
139,2026-05-22 16:00:00+00:00,1779465600000,BSBUSDT,34.0776,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
140,2026-05-23 08:00:00+00:00,1779523200000,BSBUSDT,13.44,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
141,2026-05-24 11:00:00+00:00,1779620400000,BSBUSDT,15.3062,fast,test,0,0,0,0,0,checked,checked,none,NONE
142,2026-05-27 04:00:00+00:00,1779854400000,BSBUSDT,10.1778,fast,test,0,0,0,1,0,checked,checked,news_signal,LOW
143,2024-08-05 12:00:00+00:00,1722859200000,DOGEUSDT,20.457,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
144,2024-10-17 18:00:00+00:00,1729188000000,DOGEUSDT,15.5249,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
145,2024-10-28 16:00:00+00:00,1730131200000,DOGEUSDT,19.0075,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
146,2024-11-05 04:00:00+00:00,1730779200000,DOGEUSDT,30.464,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
147,2024-11-11 08:00:00+00:00,1731312000000,DOGEUSDT,54.2825,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
148,2024-11-13 05:00:00+00:00,1731474000000,DOGEUSDT,17.0585,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
149,2025-02-03 02:00:00+00:00,1738548000000,DOGEUSDT,26.5341,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
150,2025-03-02 14:00:00+00:00,1740924000000,DOGEUSDT,18.2596,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
151,2025-04-07 06:00:00+00:00,1744005600000,DOGEUSDT,15.7987,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
152,2025-05-10 00:00:00+00:00,1746835200000,DOGEUSDT,23.0818,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
153,2025-07-17 16:00:00+00:00,1752768000000,DOGEUSDT,17.7105,main,train,0,0,1,0,0,no_coverage,no_coverage,stablecoin_inflow,LOW
154,2025-10-11 20:00:00+00:00,1760212800000,DOGEUSDT,16.0022,main,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
155,2026-02-14 08:00:00+00:00,1771056000000,DOGEUSDT,18.8486,main,test,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
156,2024-11-06 01:00:00+00:00,1730854800000,DOGEUSDT,10.6473,fast,train,0,0,0,0,0,no_coverage,no_coverage,none,NONE
157,2025-01-21 10:00:00+00:00,1737453600000,DOGEUSDT,11.2866,fast,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
158,2024-12-05 01:00:00+00:00,1733360400000,DRIFTUSDT,32.7545,main,train,0,1,0,0,0,no_coverage,no_coverage,macro_extreme,LOW
