run_ts,symbol,setup,score,grade,pump_score,direction,price_entry,stop,tp1,tp2,funding,oi_24h_pct,mtf_bull,mtf_bear,rsi_1h,cvd_kline,cvd_trade,ema_bull_1h,ema_bull_4h,choch_bull_1h,vwap_dev,rs_btc,resolve_4h_ts,price_4h,change_4h_pct,hit_tp1_4h,hit_stop_4h,outcome_4h,resolve_24h_ts,price_24h,change_24h_pct,hit_tp1_24h,hit_stop_24h,outcome_24h
2026-04-12T09:56:48,ENAUSDT,breakout,101,—,101,ЛОНГ,0.09178,0.08903761,0.09406532,0.09558887,0.003515,3.7140139677465975,3,5,24.48,28.9,12.8,0,0,0,-2.88,0.88,2026-04-13T14:56:51,0.09428,2.72,1,0,TP1,2026-04-13T14:56:52,0.09428,2.72,1,0,TP1
2026-04-12T09:56:48,DRIFTUSDT,breakout,100,—,100,ЛОНГ,0.03704,0.03356639,0.03993468,0.04186446,0.005,-3.1610631504175735,5,0,60.63,-9.2,-52.8,1,0,0,5.17,-7.56,2026-04-13T14:56:53,0.04121,11.26,1,0,TP1,2026-04-13T14:56:54,0.04121,11.26,1,0,TP1
2026-04-12T09:56:48,DOTUSDT,bos_fvg,99,—,71,ШОРТ,1.2156,1.2401065,1.19517792,1.1815632,-0.141067,7.586494675563596,0,5,8.91,-36.5,-3.5,0,0,0,-4.05,2.71,2026-04-13T14:56:55,1.1744,-3.39,1,0,TP1,2026-04-13T14:56:55,1.1745,-3.38,1,0,TP1
2026-04-12T09:56:48,BTCUSDT,squeeze,98,—,45,ЛОНГ,71506.4,70708.388576,72171.40952,72614.7492,-0.001413,-6.369300044712105,3,3,20.54,1.0,12.8,0,0,0,-1.44,1.0,2026-04-13T14:56:56,72023.9,0.72,0,0,WIN,2026-04-13T14:56:57,72020.9,0.72,0,0,WIN
2026-04-12T09:56:48,BNBUSDT,squeeze,98,—,44,ЛОНГ,593.4,586.777656,598.91862,602.5977,-0.013698,0.5237199012736989,0,5,23.8,-41.8,-18.2,0,0,0,-1.31,1.16,2026-04-13T14:56:57,601.4,1.35,1,0,TP1,2026-04-13T14:56:58,601.4,1.35,1,0,TP1
2026-04-12T09:56:48,WLDUSDT,squeeze,98,—,91,ЛОНГ,0.2918,0.28071744,0.30103547,0.30719245,-0.009866,-0.0389524978243571,5,2,39.12,-10.0,36.7,1,1,0,0.81,-1.43,2026-04-13T14:56:59,0.3025,3.67,1,0,TP1,2026-04-13T14:56:59,0.3025,3.67,1,0,TP1
2026-04-12T09:56:48,VIRTUALUSDT,squeeze,98,—,69,ЛОНГ,0.6513,0.63383213,0.66585655,0.67556092,-0.021104,2.0339760082222864,2,5,20.59,-35.0,11.4,0,0,0,-3.1,1.78,2026-04-13T14:57:00,0.6753,3.68,1,0,TP1,2026-04-13T14:57:01,0.6754,3.7,1,0,TP1
2026-04-12T09:56:48,BCHUSDT,squeeze,98,—,51,ЛОНГ,425.2,419.383264,430.04728,433.2788,-0.014393000000000001,3.456968556207243,0,5,19.07,-39.5,7.6,0,0,0,-1.63,1.92,2026-04-13T14:57:02,426.8,0.38,0,0,FLAT,2026-04-13T14:57:02,426.8,0.38,0,0,FLAT
2026-04-12T09:56:48,GALAUSDT,squeeze,98,—,95,ЛОНГ,0.002937,0.00287673,0.00298722,0.0030207,-0.013241,-3.699145735367801,3,5,25.0,-6.5,7.1,0,0,0,-1.95,1.58,2026-04-13T14:57:03,0.002948,0.37,0,0,FLAT,2026-04-13T14:57:04,0.002948,0.37,0,0,FLAT
2026-04-12T09:56:48,ARBUSDT,breakout,96,—,96,ЛОНГ,0.11002,0.10720789,0.11236343,0.11392571,0.01,-0.19111605089000872,3,5,18.92,11.0,-13.8,0,0,0,-4.23,2.04,2026-04-13T14:57:05,0.11114,1.02,0,0,WIN,2026-04-13T14:57:06,0.11114,1.02,0,0,WIN
